Wavenumber,Intensity
1.550000000000000000e+02,3.527450980392156765e+01
1.560000000000000000e+02,3.529411764705881893e+01
1.570000000000000000e+02,3.526225490196078027e+01
1.580000000000000000e+02,3.499264705882352899e+01
1.590000000000000000e+02,3.490931372549019329e+01
1.600000000000000000e+02,3.408333333333333570e+01
1.610000000000000000e+02,3.417156862745097357e+01
1.620000000000000000e+02,3.625980392156862564e+01
1.630000000000000000e+02,3.710049019607842524e+01
1.640000000000000000e+02,3.771323529411764497e+01
1.650000000000000000e+02,3.818627450980392268e+01
1.660000000000000000e+02,3.873529411764705799e+01
1.670000000000000000e+02,4.302941176470587692e+01
1.680000000000000000e+02,5.092401960784314241e+01
1.690000000000000000e+02,6.088235294117647101e+01
1.700000000000000000e+02,7.456862745098040079e+01
1.710000000000000000e+02,8.754656862745098067e+01
1.720000000000000000e+02,1.017156862745097925e+02
1.730000000000000000e+02,1.126544117647058698e+02
1.740000000000000000e+02,1.201397058823529420e+02
1.750000000000000000e+02,1.204852941176470580e+02
1.760000000000000000e+02,1.125857843137254832e+02
1.770000000000000000e+02,1.023186274509803866e+02
1.780000000000000000e+02,8.864460784313725128e+01
1.790000000000000000e+02,7.539950980392156055e+01
1.800000000000000000e+02,6.249509803921569073e+01
1.810000000000000000e+02,5.319362745098038658e+01
1.820000000000000000e+02,4.852941176470588402e+01
1.830000000000000000e+02,4.510294117647058698e+01
1.840000000000000000e+02,4.432598039215687180e+01
1.850000000000000000e+02,4.291666666666666430e+01
1.860000000000000000e+02,4.087500000000000000e+01
1.870000000000000000e+02,4.019607843137254832e+01
1.880000000000000000e+02,4.090441176470588402e+01
1.890000000000000000e+02,4.317401960784314241e+01
1.900000000000000000e+02,4.623529411764706509e+01
1.910000000000000000e+02,4.896323529411764497e+01
1.920000000000000000e+02,5.191666666666666430e+01
1.930000000000000000e+02,5.662745098039215463e+01
1.940000000000000000e+02,6.218382352941176094e+01
1.950000000000000000e+02,6.915196078431371518e+01
1.960000000000000000e+02,7.708088235294117396e+01
1.970000000000000000e+02,8.350980392156861853e+01
1.980000000000000000e+02,8.814950980392156055e+01
1.990000000000000000e+02,9.024019607843138147e+01
2.000000000000000000e+02,8.887009803921567652e+01
2.010000000000000000e+02,8.545098039215686470e+01
2.020000000000000000e+02,7.965931372549019329e+01
2.030000000000000000e+02,7.221568627450980671e+01
2.040000000000000000e+02,6.365686274509804576e+01
2.050000000000000000e+02,5.652205882352941302e+01
2.060000000000000000e+02,5.061764705882352899e+01
2.070000000000000000e+02,4.553186274509803866e+01
2.080000000000000000e+02,4.065931372549020040e+01
2.090000000000000000e+02,3.739950980392156765e+01
2.100000000000000000e+02,3.582843137254901222e+01
2.110000000000000000e+02,3.487990196078431637e+01
2.120000000000000000e+02,3.433578431372549034e+01
2.130000000000000000e+02,3.439215686274510375e+01
2.140000000000000000e+02,3.535294117647058698e+01
2.150000000000000000e+02,3.571323529411764497e+01
2.160000000000000000e+02,3.530392156862745168e+01
2.170000000000000000e+02,3.474019607843137436e+01
2.180000000000000000e+02,3.367401960784313530e+01
2.190000000000000000e+02,3.329656862745098067e+01
2.200000000000000000e+02,3.330637254901960631e+01
2.210000000000000000e+02,3.388725490196078027e+01
2.220000000000000000e+02,3.551470588235294201e+01
2.230000000000000000e+02,3.643137254901960631e+01
2.240000000000000000e+02,3.697058823529412308e+01
