Wavenumber,Intensity
2.130000000000000000e+02,5.023897540169320469e-02
2.140000000000000000e+02,5.204737117649910899e-02
2.150000000000000000e+02,5.406808244562406884e-02
2.160000000000000000e+02,5.589244636013798034e-02
2.170000000000000000e+02,5.719614375590068023e-02
2.180000000000000000e+02,5.820880567677181455e-02
2.190000000000000000e+02,5.901825419621004737e-02
2.200000000000000000e+02,5.969779049601398047e-02
2.210000000000000000e+02,6.056077103596296113e-02
2.220000000000000000e+02,6.140923708069615655e-02
2.230000000000000000e+02,6.216448505365282373e-02
2.240000000000000000e+02,6.283864297476281224e-02
2.250000000000000000e+02,6.334960840136093230e-02
2.260000000000000000e+02,6.380744662139734014e-02
2.270000000000000000e+02,6.426939197242517721e-02
2.280000000000000000e+02,6.478742639451130769e-02
2.290000000000000000e+02,6.547563089011489146e-02
2.300000000000000000e+02,6.628557765335656160e-02
2.310000000000000000e+02,6.717810719277338138e-02
2.320000000000000000e+02,6.823238826343838714e-02
2.330000000000000000e+02,6.941482200737274233e-02
2.340000000000000000e+02,7.063032792055637388e-02
2.350000000000000000e+02,7.207084132712950064e-02
2.360000000000000000e+02,7.368329858803851495e-02
2.370000000000000000e+02,7.546314117503909180e-02
2.380000000000000000e+02,7.732115748393598997e-02
2.390000000000000000e+02,7.908193805842432533e-02
2.400000000000000000e+02,8.064267673092222199e-02
2.410000000000000000e+02,8.207234409167779576e-02
2.420000000000000000e+02,8.309913664929895194e-02
2.430000000000000000e+02,8.375834847265935246e-02
2.440000000000000000e+02,8.404510950129258362e-02
2.450000000000000000e+02,8.396072828960124412e-02
2.460000000000000000e+02,8.353462757270201100e-02
2.470000000000000000e+02,8.280549821527700971e-02
2.480000000000000000e+02,8.188741487364460669e-02
2.490000000000000000e+02,8.080918113360611998e-02
2.500000000000000000e+02,7.955016791357968908e-02
2.510000000000000000e+02,7.811631558669668296e-02
2.520000000000000000e+02,7.650491350278307290e-02
2.530000000000000000e+02,7.486525487214237828e-02
2.540000000000000000e+02,7.352922299719863442e-02
2.550000000000000000e+02,7.251017167689458032e-02
2.560000000000000000e+02,7.139788165156887856e-02
2.570000000000000000e+02,6.995638209848398237e-02
2.580000000000000000e+02,6.810294192925234191e-02
2.590000000000000000e+02,6.591857416109961343e-02
2.600000000000000000e+02,6.338542701419161429e-02
2.610000000000000000e+02,6.080603135239410345e-02
2.620000000000000000e+02,5.786192496399306107e-02
2.630000000000000000e+02,5.458839511267678246e-02
2.640000000000000000e+02,5.143287043298657574e-02
2.650000000000000000e+02,4.849768041495824966e-02
2.660000000000000000e+02,4.567939263975336062e-02
2.670000000000000000e+02,4.322770638367545715e-02
2.680000000000000000e+02,4.140498790379878308e-02
2.690000000000000000e+02,4.042324432139567103e-02
2.700000000000000000e+02,4.013702616451506056e-02
2.710000000000000000e+02,4.058687433097245972e-02
2.720000000000000000e+02,4.171106846172153299e-02
2.730000000000000000e+02,4.327364075592634446e-02
2.740000000000000000e+02,4.567197452864048962e-02
2.750000000000000000e+02,4.827711562678006774e-02
2.760000000000000000e+02,5.035290362936672287e-02
2.770000000000000000e+02,5.221176002646155112e-02
2.780000000000000000e+02,5.373944396456471068e-02
2.790000000000000000e+02,5.459494395981669829e-02
2.800000000000000000e+02,5.492570100342195061e-02
2.810000000000000000e+02,5.461809179680025828e-02
2.820000000000000000e+02,5.373799383256399470e-02
2.830000000000000000e+02,5.260308008884426872e-02
2.840000000000000000e+02,5.111733713658465211e-02
2.850000000000000000e+02,4.901359221341748673e-02
2.860000000000000000e+02,4.721351849870415729e-02
2.870000000000000000e+02,4.642530349532449779e-02
2.880000000000000000e+02,4.677939502637890740e-02
2.890000000000000000e+02,4.810717565122252931e-02
2.900000000000000000e+02,4.970801310122962419e-02
2.910000000000000000e+02,5.077468671887198914e-02
2.920000000000000000e+02,5.165638187688295635e-02
2.930000000000000000e+02,5.253328729467261066e-02
2.940000000000000000e+02,5.350588206272120784e-02
2.950000000000000000e+02,5.487978907540258522e-02
2.960000000000000000e+02,5.660502773656179293e-02
2.970000000000000000e+02,5.841195268146005815e-02
2.980000000000000000e+02,6.038652177280301458e-02
2.990000000000000000e+02,6.193098265803350516e-02
3.000000000000000000e+02,6.406587165772401060e-02
3.010000000000000000e+02,6.891684502292533265e-02
3.020000000000000000e+02,7.717973044498482871e-02
3.030000000000000000e+02,8.884594553291357000e-02
3.040000000000000000e+02,1.050491018743545113e-01
3.050000000000000000e+02,1.248716804370366973e-01
3.060000000000000000e+02,1.512117147065200340e-01
3.070000000000000000e+02,1.824735352692909429e-01
3.080000000000000000e+02,2.159532619712351276e-01
3.090000000000000000e+02,2.525697805584917743e-01
3.100000000000000000e+02,2.910688089757690333e-01
3.110000000000000000e+02,3.295787776204159858e-01
3.120000000000000000e+02,3.673146974285615429e-01
3.130000000000000000e+02,3.990371112525348818e-01
3.140000000000000000e+02,4.255150508077592542e-01
3.150000000000000000e+02,4.467643200619417776e-01
3.160000000000000000e+02,4.579903416134726846e-01
3.170000000000000000e+02,4.586500179706261560e-01
3.180000000000000000e+02,4.500953570368872447e-01
3.190000000000000000e+02,4.318107496909598386e-01
3.200000000000000000e+02,4.098420983397310091e-01
3.210000000000000000e+02,3.822831944051566788e-01
3.220000000000000000e+02,3.496064445525797759e-01
3.230000000000000000e+02,3.154880808822560501e-01
3.240000000000000000e+02,2.806294367676158696e-01
3.250000000000000000e+02,2.443427961288689443e-01
3.260000000000000000e+02,2.098458985848074831e-01
3.270000000000000000e+02,1.772425578276305702e-01
3.280000000000000000e+02,1.503529655326855952e-01
3.290000000000000000e+02,1.297984264099268092e-01
3.300000000000000000e+02,1.127511076184842254e-01
3.310000000000000000e+02,9.909144579534553965e-02
3.320000000000000000e+02,8.862727322607789893e-02
3.330000000000000000e+02,8.028838097249696437e-02
3.340000000000000000e+02,7.459627864334787695e-02
3.350000000000000000e+02,7.030867036800564351e-02
3.360000000000000000e+02,6.676625175397561673e-02
3.370000000000000000e+02,6.452698771240381048e-02
3.380000000000000000e+02,6.368325273606877113e-02
3.390000000000000000e+02,6.373238017120247401e-02
3.400000000000000000e+02,6.503707677951356403e-02
3.410000000000000000e+02,6.740733456317563044e-02
3.420000000000000000e+02,7.069825223711714846e-02
3.430000000000000000e+02,7.454711733243936378e-02
3.440000000000000000e+02,7.821027968068654246e-02
3.450000000000000000e+02,8.364031002856554819e-02
3.460000000000000000e+02,9.098704575352117851e-02
3.470000000000000000e+02,9.965544133439416252e-02
3.480000000000000000e+02,1.106709022788535668e-01
3.490000000000000000e+02,1.232820524513036087e-01
3.500000000000000000e+02,1.357621545999195822e-01
3.510000000000000000e+02,1.500449300690299970e-01
3.520000000000000000e+02,1.657543765644157452e-01
3.530000000000000000e+02,1.815944326311783874e-01
3.540000000000000000e+02,1.993943906899299512e-01
3.550000000000000000e+02,2.191804998065068621e-01
3.560000000000000000e+02,2.377381044324407278e-01
3.570000000000000000e+02,2.549976752675209291e-01
3.580000000000000000e+02,2.699393457100690008e-01
3.590000000000000000e+02,2.823808150102581349e-01
3.600000000000000000e+02,2.921549187698088135e-01
3.610000000000000000e+02,2.991247674495027264e-01
3.620000000000000000e+02,3.029069255733214949e-01
3.630000000000000000e+02,3.033725312707470367e-01
3.640000000000000000e+02,2.998332085831962313e-01
3.650000000000000000e+02,2.933650019362153416e-01
3.660000000000000000e+02,2.834235016563450005e-01
3.670000000000000000e+02,2.695013697561285948e-01
3.680000000000000000e+02,2.537513397288838624e-01
3.690000000000000000e+02,2.341194568258540831e-01
3.700000000000000000e+02,2.112102933174181130e-01
3.710000000000000000e+02,1.884698480792380559e-01
3.720000000000000000e+02,1.667937222414524467e-01
3.730000000000000000e+02,1.460737314861568215e-01
3.740000000000000000e+02,1.278246133795844508e-01
3.750000000000000000e+02,1.107808483498358559e-01
3.760000000000000000e+02,9.621557185467465023e-02
3.770000000000000000e+02,8.430205071071687761e-02
3.780000000000000000e+02,7.445785540170148098e-02
3.790000000000000000e+02,6.691278993307060718e-02
3.800000000000000000e+02,6.135969997874891890e-02
3.810000000000000000e+02,5.723561897812207838e-02
3.820000000000000000e+02,5.472555217392478799e-02
3.830000000000000000e+02,5.205049887658742824e-02
3.840000000000000000e+02,4.978628791234876450e-02
3.850000000000000000e+02,4.816642955336932624e-02
3.860000000000000000e+02,4.745316649845592039e-02
3.870000000000000000e+02,4.780524257364049401e-02
3.880000000000000000e+02,4.959488715479380000e-02
3.890000000000000000e+02,5.190445632810940235e-02
3.900000000000000000e+02,5.387778748557420921e-02
3.910000000000000000e+02,5.506838783622656358e-02
3.920000000000000000e+02,5.587752785733176436e-02
3.930000000000000000e+02,5.592513911597302156e-02
3.940000000000000000e+02,5.532145934294874223e-02
3.950000000000000000e+02,5.370835539405300479e-02
3.960000000000000000e+02,5.135239427167952175e-02
3.970000000000000000e+02,4.921559307384285736e-02
3.980000000000000000e+02,4.783732291673799958e-02
3.990000000000000000e+02,4.698797413178618793e-02
4.000000000000000000e+02,4.692330006777380158e-02
4.010000000000000000e+02,4.766455970356506949e-02
4.020000000000000000e+02,4.895958973807574416e-02
4.030000000000000000e+02,5.102645125738593940e-02
4.040000000000000000e+02,5.355026364277691575e-02
4.050000000000000000e+02,5.606105244492921164e-02
4.060000000000000000e+02,5.830850773683154964e-02
4.070000000000000000e+02,6.103189165531876931e-02
4.080000000000000000e+02,6.456697528950949838e-02
4.090000000000000000e+02,6.910463120304360940e-02
4.100000000000000000e+02,7.495560498164303975e-02
4.110000000000000000e+02,8.211798284692289895e-02
4.120000000000000000e+02,9.016380633425435942e-02
4.130000000000000000e+02,1.002240867137979552e-01
4.140000000000000000e+02,1.117309095287117998e-01
4.150000000000000000e+02,1.235741495545498170e-01
4.160000000000000000e+02,1.362582623064878262e-01
4.170000000000000000e+02,1.491149219360267120e-01
4.180000000000000000e+02,1.614841433462415599e-01
