Wavenumber,Intensity
4.070000000000000000e+02,1.405401976495726224e+01
4.080000000000000000e+02,1.396331908831908919e+01
4.090000000000000000e+02,1.389094106125356021e+01
4.100000000000000000e+02,1.382055733618233617e+01
4.110000000000000000e+02,1.379103899572649361e+01
4.120000000000000000e+02,1.376419159544159143e+01
4.130000000000000000e+02,1.372743500712250508e+01
4.140000000000000000e+02,1.368963675213675124e+01
4.150000000000000000e+02,1.358805199430199551e+01
4.160000000000000000e+02,1.348425925925925917e+01
4.170000000000000000e+02,1.333768696581196345e+01
4.180000000000000000e+02,1.319242343304843246e+01
4.190000000000000000e+02,1.306108885327635072e+01
4.200000000000000000e+02,1.292646011396011296e+01
4.210000000000000000e+02,1.276827813390313260e+01
4.220000000000000000e+02,1.261275819088318784e+01
4.230000000000000000e+02,1.247126513532763425e+01
4.240000000000000000e+02,1.233019943019942843e+01
4.250000000000000000e+02,1.219088319088319139e+01
4.260000000000000000e+02,1.204243233618233511e+01
4.270000000000000000e+02,1.186393340455840040e+01
4.280000000000000000e+02,1.169894943019942879e+01
4.290000000000000000e+02,1.157051727207976910e+01
4.300000000000000000e+02,1.144720441595441507e+01
4.310000000000000000e+02,1.133546118233618039e+01
4.320000000000000000e+02,1.123319088319088088e+01
4.330000000000000000e+02,1.114902065527065389e+01
4.340000000000000000e+02,1.106540242165242027e+01
4.350000000000000000e+02,1.098268340455840431e+01
4.360000000000000000e+02,1.092206196581196487e+01
4.370000000000000000e+02,1.089231214387464419e+01
4.380000000000000000e+02,1.084049145299145245e+01
4.390000000000000000e+02,1.076212606837606600e+01
4.400000000000000000e+02,1.071581196581196593e+01
4.410000000000000000e+02,1.070275106837606849e+01
4.420000000000000000e+02,1.070079237891738089e+01
4.430000000000000000e+02,1.070877403846153975e+01
4.440000000000000000e+02,1.073723290598290703e+01
4.450000000000000000e+02,1.078149483618233617e+01
4.460000000000000000e+02,1.082226673789173965e+01
4.470000000000000000e+02,1.086072382478632647e+01
4.480000000000000000e+02,1.090982905982905926e+01
4.490000000000000000e+02,1.096497507122507287e+01
4.500000000000000000e+02,1.104313568376068488e+01
4.510000000000000000e+02,1.113238514957265224e+01
4.520000000000000000e+02,1.121130698005698179e+01
4.530000000000000000e+02,1.128604433760684067e+01
4.540000000000000000e+02,1.137490206552706518e+01
4.550000000000000000e+02,1.146850516381766383e+01
4.560000000000000000e+02,1.155470085470085628e+01
4.570000000000000000e+02,1.163887108262108327e+01
4.580000000000000000e+02,1.176300747863248297e+01
4.590000000000000000e+02,1.189579326923076863e+01
4.600000000000000000e+02,1.190705128205128283e+01
4.610000000000000000e+02,1.189834401709401668e+01
4.620000000000000000e+02,1.189548611111111143e+01
4.630000000000000000e+02,1.189330929487179311e+01
4.640000000000000000e+02,1.192158119658119730e+01
4.650000000000000000e+02,1.195205662393162527e+01
4.660000000000000000e+02,1.197690527065527100e+01
4.670000000000000000e+02,1.200154469373219257e+01
4.680000000000000000e+02,1.202113603988603963e+01
4.690000000000000000e+02,1.204060274216524284e+01
4.700000000000000000e+02,1.205729166666666607e+01
4.710000000000000000e+02,1.207317040598290525e+01
4.720000000000000000e+02,1.207970085470085486e+01
4.730000000000000000e+02,1.207718126780626555e+01
4.740000000000000000e+02,1.200607193732193778e+01
4.750000000000000000e+02,1.193218037749287852e+01
4.760000000000000000e+02,1.184293091168091117e+01
4.770000000000000000e+02,1.174760950854700603e+01
4.780000000000000000e+02,1.162643340455839969e+01
4.790000000000000000e+02,1.151266915954415992e+01
4.800000000000000000e+02,1.142414529914529808e+01
4.810000000000000000e+02,1.139764066951567045e+01
4.820000000000000000e+02,1.154421296296296617e+01
4.830000000000000000e+02,1.173157496438747494e+01
4.840000000000000000e+02,1.201383547008546770e+01
4.850000000000000000e+02,1.226451210826210669e+01
4.860000000000000000e+02,1.245316951566951680e+01
4.870000000000000000e+02,1.262634882478632647e+01
4.880000000000000000e+02,1.277364672364672771e+01
4.890000000000000000e+02,1.288992610398860172e+01
4.900000000000000000e+02,1.296176103988603856e+01
4.910000000000000000e+02,1.301929754273504258e+01
4.920000000000000000e+02,1.305920584045584043e+01
4.930000000000000000e+02,1.309665242165242205e+01
4.940000000000000000e+02,1.313148148148147953e+01
4.950000000000000000e+02,1.308949875356125148e+01
4.960000000000000000e+02,1.297702991452991128e+01
4.970000000000000000e+02,1.282364672364671776e+01
4.980000000000000000e+02,1.263789173789173148e+01
4.990000000000000000e+02,1.244350071225071375e+01
5.000000000000000000e+02,1.224323361823361900e+01
5.010000000000000000e+02,1.205030270655270463e+01
5.020000000000000000e+02,1.186164529914529631e+01
5.030000000000000000e+02,1.172490651709401277e+01
5.040000000000000000e+02,1.161388888888888893e+01
5.050000000000000000e+02,1.156327902421652354e+01
5.060000000000000000e+02,1.153788283475783416e+01
5.070000000000000000e+02,1.148824786324786196e+01
5.080000000000000000e+02,1.143019943019942808e+01
5.090000000000000000e+02,1.145638799857549728e+01
5.100000000000000000e+02,1.150645477207977230e+01
5.110000000000000000e+02,1.165006677350427466e+01
5.120000000000000000e+02,1.181477920227920464e+01
5.130000000000000000e+02,1.202961182336182944e+01
5.140000000000000000e+02,1.225309829059828637e+01
5.150000000000000000e+02,1.242881944444444464e+01
5.160000000000000000e+02,1.259861111111111498e+01
5.170000000000000000e+02,1.268908475783476142e+01
5.180000000000000000e+02,1.277325498575498841e+01
5.190000000000000000e+02,1.278613782051282044e+01
5.200000000000000000e+02,1.279629629629629584e+01
5.210000000000000000e+02,1.280282674501424545e+01
5.220000000000000000e+02,1.280943732193732210e+01
5.230000000000000000e+02,1.281814458689458647e+01
5.240000000000000000e+02,1.281536680911681003e+01
5.250000000000000000e+02,1.266806891025641058e+01
5.260000000000000000e+02,1.251988960113960125e+01
5.270000000000000000e+02,1.236461004273504116e+01
5.280000000000000000e+02,1.220430911680911201e+01
5.290000000000000000e+02,1.201492610398860705e+01
5.300000000000000000e+02,1.183288817663817660e+01
5.310000000000000000e+02,1.168341346153846061e+01
5.320000000000000000e+02,1.156278490028490147e+01
